,Id,rest_name,Tag
0,1,Rustom's, parsi streetfood northindian desserts beverages ito newdelhi
1,2,Cafe Lota,pondicherryfishcurry coconutrabdi sabudanapopcorn chickenpasanda majesticchicken bhapadoi cafe southindian northindian beverages pragatimaidan newdelhi
2,3,Dum-Pukht - ITC Maurya,"royalambianceandmughlaicuisine alsoreceivedthe""timesfoodaward2015""forculinaryheritage mughlai northindian desserts itcmaurya chanakyapuri newdelhi"
3,4,Burma Burma,coconutmilkdessert honeycaviar kaffirlimecooler samosacurry samosasoup corncurry asian burmese bubbletea desserts salad cyberhub dlfcybercity gurgaon
4,5,The Big Chill,irishcreamtiramisu pennevodka mississippimudpie icedteapitcher tunamelt banofipie continental american italian khanmarket newdelhi
5,6,Carnatic Cafe,malleshwaridosa bennekhalidosa obbattu raagimasaladosa bombatdosa puliyogare southindian lodhicolony newdelhi
6,7,"Cocktails & Dreams, Speakeasy",classicmartini coktails bloodymary calamari bacon pork nepalese tibetan beverages sector15 gurgaon
7,8,Natural Ice Cream,watermelonicecream chocobite chocobite chocoalmond roastedalmondicecream tendercoconuticecream icecream desserts connaughtplace newdelhi
8,9,Kuremal Mohan Lal Kulfi Wale,orangekulfi jamunkulfi mixedfruit fruitcream icecreams dessert icecream desserts chawribazar newdelhi
9,10,Juggernaut,podigheeidli chettinadidli gannekaras pesarattu appalam chettinadcurry southindian northindian fastfood desserts beverages kailashcolony newdelhi
10,11,Comorin,champaranstylemutton gunpowderidli coktails sevpuri haleem chocolatedessert northindian desserts beverages twohorizoncenter golfcourseroad gurgaon
11,12,Viet:Nom, vietnamese beverages cyberhub dlfcybercity gurgaon
12,13,Cafeteria & Co.,periperichickenskewer tropicalheavensundae chickencannelloni banananutellacrepe chipotlepizza blueberryicecream cafe continental italian fastfood oriental beverages vijaynagar newdelhi
13,14,Sana-Di-Ge,interiorsandtheoutdoorseating alongwithseafoodandauthenticsouthindiandelicacies mangalorean seafood goan southindian northindian kerala chanakyapuri newdelhi
14,15,Pa Pa Ya, asian chinese thai japanese sushi malaysian momos beverages selectcitywalkmall saket newdelhi
15,16,Yum Yum Cha,spicybasilnoodle takoyaki crispycorncakes chillibowl sashimiplatter mochiicecream asian japanese sushi desserts beverages rolls cyberhub dlfcybercity gurgaon
16,17,Coast Cafe,garamcurrychicken auberginecurry masalafishcurry keralafishfry kokumcurry avial continental kerala hauzkhasvillage newdelhi
17,18,PizzaExpress, fastfood italian beverages desserts ambiencemall dlfphase3 gurgaon
18,19,The Big Chill Cakery,triplechocolatecheesecake irishtiramisu mushroomtart irishcreamcoffee flakypastry mississippimud bakery desserts dlfmallofindia sector18 noida noida
19,20,Music & Mountains - Hillside Cafe, cafe italian continental fastfood salad beverages mblockmarket greaterkailash1(gk1) newdelhi
20,21,Gulati,paneergilafi nezakebab shahivegplatter handigosht methipaneer hyderabadivegbiryani northindian biryani hyderabadi mughlai kebab pandararoadmarket newdelhi
21,22,Olive Bar & Kitchen,cheesesouffle fettucine scallops gnocchi sundaybrunches datenight italian pizza mediterranean continental european beverages desserts mehrauli newdelhi
22,23,The Grammar Room,mushroommelt spicyfries frenchtoast dessertcounter cookie mocha continental desserts beverages mehrauli newdelhi
23,24,Chaina Ram Sindhi Confectioners,sevbadam sohanhalwa pinni malaighewar poorichole kajubarfi mithai streetfood chandnichowk newdelhi
24,25,Sevilla - The Claridges,patatabravas cornfedchicken datenight duck risotto sangria spanish italian desserts theclaridges aurangzebroad newdelhi
25,26,Bo Tai,therestaurantusesbambooandcopperstrawsaseco-friendlyalternatives. thai japanese asian beverages mehrauli newdelhi
26,27,Cafe Wink,bbqspaghetti bbqlasagna vegomelette spaghettiarrabiata pastaalforno exoticagarlicbread cafe continental italian anandvihar newdelhi
27,28,Spezia Bistro,bakedchickentoscana spicymangomojito classicchickensteak chocoball mushroommelt blueberrypie pizza chinese momos fastfood italian beverages continental delhiuniversity-gtbnagar newdelhi
28,29,Evoo - Eatery And Pizzeria,grilledchickenstuffed chocolateorange lambshank gnocchi pepperonipizza tiramisu cafe italian desserts beverages geetanjalienclave newdelhi
29,30,Oh! Calcutta, bengali desserts greaterkailash2(gk2) newdelhi
30,31,Greenr Cafe,aconsciousandcommunityorientedspace focussedonnutritiveandprocessed-food-freevegetarianism.engagingartandlifestyleworkshopsareanintegralpartofourexperientialcafe. cafe italian mexican salad healthyfood desserts mediterranean 32ndavenue nh8 gurgaon gurgaon
31,32,Downtown - Diners & Living Beer Cafe,americanfriedchicken vegfarmpizza strawberrymargarita vegetableseekh darkbeer fattoush barfood northindian fastfood italian chinese beverages sector29 gurgaon
32,33,Chili's Grill & Bar,moltenchocolatechunk cajunpasta smokedchickenleg santafesalad trippledipper grilledchickenfajita mexican italian american tex-mex beverages desserts pacificmall tagoregarden newdelhi
33,34,Theos, cafe desserts salad sector41 noida
34,35,Kuuraku, japanese sushi globalfoyermall golfcourseroad gurgaon
35,36,Threesixtyone Degrees - The Oberoi,buffet chocolatecake thaicurry salads virginmojito dimsums asian continental northindian mughlai desserts beverages theoberoi udyogvihar gurgaon
36,37,Jom Jom Malay, asian malaysian thai chinese salad momos saket newdelhi
37,38,Andrea's Eatery,katsuchickencurry spinachricottaravioli mushroomlasagna buttergarlicprawns jasminerice sauteedvegetables asian italian beverages continental fastfood desserts selectcitywalkmall saket newdelhi
38,39,The Ivy, mediterranean lebanese continental desserts baanisquare sector50 gurgaon
39,40,The Saffron Boutique, northindian mughlai chinese hajipur noida
40,41,Master Koii's,balinesechickensatay cantonesechillichicken generaltsoschicken koreanbibimbap burmesechickencurry koreansushi asian chinese thai malaysian korean sushantlok gurgaon
41,42,Kunzum Travel Cafe,brewedcoffee chocolatecookies greentea hotcoffee cafe hauzkhasvillage newdelhi
42,43,Echoes Living Room,cafe continental american italian mexican beverages cafe continental chinese fastfood desserts beverages subhashnagar newdelhi
43,44,AMA Cafe,carrotcinnamon pancakesandmaplesyrup pancakebreakfast chocowalnutbrownie bananamuffin applecinnamoncake cafe continental desserts beverages majnukatila newdelhi
44,45,Bukhara - ITC Maurya,sikanderiraan meatmasala chickenkhurchan onionkulcha jumboprawns firni northindian kebab itcmaurya chanakyapuri newdelhi
45,46,Leo's,pancettapizza pepperonipizzapie parsleybutter prosciutto quattroformaggiopizza neapolitanpizza pizza italian beverages vasantvihar newdelhi
46,47,Pirates of Grill, northindian mughlai ambiencemall vasantkunj newdelhi
47,48,Roadhouse Cafe, cafe pizza italian wraps asian chinese thai beverages greaterkailash1(gk1) newdelhi
48,49,Plum By Bent Chair,elderflowercocktail thaimojito cappuccinofrappe turnipcake honeyicecream peachmocktail chinese japanese thai asian beverages aerocity newdelhi
49,50,Kiyan - The Roseate, thai european northindian pizza salad theroseate kapashera newdelhi
50,51,Dragonfly Experience, modernindian northindian beverages european asian desserts worldmark1 aerocity newdelhi
51,52,AB's - Absolute Barbecues,smokedcottagecheese chillichickenwing chilliicecream pineapplegrill masalacorn rabbit northindian continental desserts salad mgfmetropolismall mgroad gurgaon
52,53,Qureshi Kabab Corner,beefkabab seekhkebabroll chickenkabab kababs chickenseekh rumaliroti mughlai kebab jamamasjid newdelhi
53,54,Clock Tower, northindian asian beverages fastfood golfcourseroad gurgaon
54,55,Saravana Bhavan,karadosa ravakhichdi gheeidli gheeroastpapermasaladosa sweetdahivada miniidlies southindian beverages connaughtplace newdelhi
55,56,C.I.A Call It Asiian, thai chinese sushi momos greaterkailash2(gk2) newdelhi
56,57,Open Tap,kamikaze chickenbbqwings chickenslider craftbeer hummuspita tawamutton fingerfood northindian continental italian southpointmall golfcourseroad gurgaon
57,58,Hamoni: Cafe By The Greens,sizzlerbrownie coffeehazelnut cheeseballs hotchocolate mezzeplatter sundaybrunch cafe northindian italian desserts beverages sector23 gurgaon
58,59,Indian Grill Room,pineapplejalebi ajwainpaneertikka gulkandkikheer trifflepudding tandooriananas blueoceanmocktail northindian mughlai beverages kebab suncitybusinesstower golfcourseroad gurgaon
59,60,Noida Social,cheesecake cocktails oreoshake drink platter dessert northindian chinese burger rolls pizza momos continental beverages dlfmallofindia sector18 noida noida
60,61,K3 - JW Marriott New Delhi,dinnerbuffet dessertcounter duck sundaybrunch dimsums tiramisu northindian chinese italian momos jwmarriottnewdelhi newdelhi
61,62,Barbeque Nation,grilledshrimp cajunpotatoes matkaphirni pankulfi grilledpineapple barbeque northindian bbq beverages desserts unityonemall janakpuri newdelhi
62,63,Di Ghent Cafe,yogurtsmoothie lamblasagna eggbenedict chickenpanini baguette smokedsalmon european belgian crosspointmall dlfphase4 gurgaon
63,64,Vapour Bar Exchange, continental italian american northindian sohnaroad gurgaon
64,65,Kiara Soul Kitchen, asian northindian oriental desserts juices beverages mblockmarket greaterkailash2(gk2) newdelhi
65,66,The Yellow Chilli,shyamsavera lallamussadal kurkuribhindi paneertakatak dahikabab chilligarlicnoodles northindian mughlai chinese beverages desserts kebab sector110 noida
66,67,Mahabelly,chickenvarattiyathu sweetcoconutdosa mangoprawncurry kothuporotta porkroast eggappam kerala southindian seafood biryani dlfavenue saket newdelhi
