,Restaurant_Name,Category,Locality,Known_For2,Id
0,Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages"," ITO, New Delhi",,1
1,Cafe Lota,"Cafe, South Indian, North Indian, Beverages"," Pragati Maidan, New Delhi","Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi",2
2,Dum-Pukht - ITC Maurya,"Mughlai, North Indian, Desserts"," ITC Maurya, Chanakyapuri, New Delhi","Royal ambiance and Mughlai cuisine, also received the ""Times Food Award 2015"" for Culinary Heritage",3
3,Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad"," Cyber Hub, DLF Cyber City, Gurgaon","Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry",4
4,The Big Chill,"Continental, American, Italian"," Khan Market, New Delhi","Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie",5
5,Carnatic Cafe,South Indian," Lodhi Colony, New Delhi","Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare",6
6,"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages"," Sector 15, Gurgaon","Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork",7
7,Natural Ice Cream,"Ice Cream, Desserts"," Connaught Place, New Delhi","Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream",8
8,Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts"," Chawri Bazar, New Delhi","Orange Kulfi, Jamun Kulfi, Mixed Fruit, Fruit Cream, Ice Creams, Dessert",9
9,Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages"," Kailash Colony, New Delhi","Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry",10
10,Comorin,"North Indian, Desserts, Beverages"," Two Horizon Center, Golf Course Road, Gurgaon","Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert",11
11,Viet:Nom,"Vietnamese, Beverages"," Cyber Hub, DLF Cyber City, Gurgaon",,12
12,Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages"," Vijay Nagar, New Delhi","Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream",13
13,Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala"," Chanakyapuri, New Delhi","Interiors and the outdoor seating , along with Seafood and authentic South Indian delicacies",14
14,Pa Pa Ya,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Momos, Beverages"," Select Citywalk Mall, Saket, New Delhi",,15
15,Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls"," Cyber Hub, DLF Cyber City, Gurgaon","Spicy Basil Noodle, Takoyaki, Crispy Corn Cakes, Chilli Bowl, Sashimi Platter, Mochi Ice Cream",16
16,Coast Cafe,"Continental, Kerala"," Hauz Khas Village, New Delhi","Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial",17
17,PizzaExpress,"Fast Food, Italian, Beverages, Desserts"," Ambience Mall, DLF Phase 3, Gurgaon",,18
18,The Big Chill Cakery,"Bakery, Desserts"," DLF Mall of India, Sector 18,  Noida, Noida","Triple Chocolate Cheesecake, Irish Tiramisu, Mushroom Tart, Irish Cream Coffee, Flaky Pastry, Mississippi Mud",19
19,Music & Mountains - Hillside Cafe,"Cafe, Italian, Continental, Fast Food, Salad, Beverages"," M Block Market, Greater Kailash 1 (GK1), New Delhi",,20
20,Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab"," Pandara Road Market, New Delhi","Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani",21
21,Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts"," Mehrauli, New Delhi","Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night",22
22,The Grammar Room,"Continental, Desserts, Beverages"," Mehrauli, New Delhi","Mushroom Melt, Spicy Fries, French Toast, Dessert Counter, Cookie, Mocha",23
23,Chaina Ram Sindhi Confectioners,"Mithai, Street Food"," Chandni Chowk, New Delhi","Sev Badam, Sohan Halwa, Pinni, Malai Ghewar, Poori Chole, Kaju Barfi",24
24,Sevilla - The Claridges,"Spanish, Italian, Desserts"," The Claridges, Aurangzeb Road, New Delhi","Patata Bravas, Corn Fed Chicken, Date Night, Duck, Risotto, Sangria",25
25,Bo Tai,"Thai, Japanese, Asian, Beverages"," Mehrauli, New Delhi",The restaurant uses Bamboo and Copper straws as eco-friendly alternatives.,26
26,Cafe Wink,"Cafe, Continental, Italian"," Anand Vihar, New Delhi","Bbq Spaghetti, Bbq Lasagna, Veg Omelette, Spaghetti Arrabiata, Pasta Al Forno, Exotica Garlic Bread",27
27,Spezia Bistro,"Pizza, Chinese, Momos, Fast Food, Italian, Beverages, Continental"," Delhi University-GTB Nagar, New Delhi","Baked Chicken Toscana, Spicy Mango Mojito, Classic Chicken Steak, Choco Ball, Mushroom Melt, Blueberry Pie",28
28,Evoo - Eatery And Pizzeria,"Cafe, Italian, Desserts, Beverages"," Geetanjali Enclave, New Delhi","Grilled Chicken Stuffed, Chocolate Orange, Lamb Shank, Gnocchi, Pepperoni Pizza, Tiramisu",29
29,Oh! Calcutta,"Bengali, Desserts"," Greater Kailash 2 (GK2), New Delhi",,30
30,Greenr Cafe,"Cafe, Italian, Mexican, Salad, Healthy Food, Desserts, Mediterranean","  32nd Avenue, NH8, Gurgaon, Gurgaon","A conscious and community oriented space, focussed on nutritive and processed-food-free vegetarianism. Engaging art and lifestyle workshops are an integral part of our experiential cafe.",31
31,Downtown - Diners & Living Beer Cafe,"Bar Food, North Indian, Fast Food, Italian, Chinese, Beverages"," Sector 29, Gurgaon","American Fried Chicken, Veg Farm Pizza, Strawberry Margarita, Vegetable Seekh, Dark Beer, Fattoush",32
32,Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts"," Pacific Mall, Tagore Garden, New Delhi","Molten Chocolate Chunk, Cajun Pasta, Smoked Chicken Leg, Santa Fe Salad, Tripple Dipper, Grilled Chicken Fajita",33
33,Theos,"Cafe, Desserts, Salad"," Sector 41, Noida",,34
34,Kuuraku,"Japanese, Sushi"," Global Foyer Mall, Golf Course Road, Gurgaon",,35
35,Threesixtyone Degrees - The Oberoi,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages"," The Oberoi, Udyog Vihar, Gurgaon","Buffet, Chocolate Cake, Thai Curry, Salads, Virgin Mojito, Dimsums",36
36,Jom Jom Malay,"Asian, Malaysian, Thai, Chinese, Salad, Momos"," Saket, New Delhi",,37
37,Andrea's Eatery,"Asian, Italian, Beverages, Continental, Fast Food, Desserts"," Select Citywalk Mall, Saket, New Delhi","Katsu Chicken Curry, Spinach Ricotta Ravioli, Mushroom Lasagna, Butter Garlic Prawns, Jasmine Rice, Sauteed Vegetables",38
38,The Ivy,"Mediterranean, Lebanese, Continental, Desserts"," Baani Square, Sector 50, Gurgaon",,39
39,The Saffron Boutique,"North Indian, Mughlai, Chinese"," Hajipur, Noida",,40
40,Master Koii's,"Asian, Chinese, Thai, Malaysian, Korean"," Sushant Lok, Gurgaon","Balinese Chicken Satay, Cantonese Chilli Chicken, General Tsos Chicken, Korean Bibimbap, Burmese Chicken Curry, Korean Sushi",41
41,Kunzum Travel Cafe,Cafe," Hauz Khas Village, New Delhi","Brewed Coffee, Chocolate Cookies, Green Tea, Hot Coffee",42
42,Echoes Living Room,"Cafe, Continental, Chinese, Fast Food, Desserts, Beverages"," Subhash Nagar, New Delhi","Cafe, Continental, American, Italian, Mexican, Beverages",43
43,AMA Cafe,"Cafe, Continental, Desserts, Beverages"," Majnu ka Tila, New Delhi","Carrot Cinnamon, Pancakes and Maple Syrup, Pancake Breakfast, Choco Walnut Brownie, Banana Muffin, Apple Cinnamon Cake",44
44,Bukhara - ITC Maurya,"North Indian, Kebab"," ITC Maurya, Chanakyapuri, New Delhi","Sikanderi Raan, Meat Masala, Chicken Khurchan, Onion Kulcha, Jumbo Prawns, Firni",45
45,Leo's,"Pizza, Italian, Beverages"," Vasant Vihar, New Delhi","Pancetta Pizza, Pepperoni Pizza Pie, Parsley Butter, Prosciutto, Quattro Formaggio Pizza, Neapolitan Pizza",46
46,Pirates of Grill,"North Indian, Mughlai"," Ambience Mall, Vasant Kunj, New Delhi",,47
47,Roadhouse Cafe,"Cafe, Pizza, Italian, Wraps, Asian, Chinese, Thai, Beverages"," Greater Kailash 1 (GK1), New Delhi",,48
48,Plum By Bent Chair,"Chinese, Japanese, Thai, Asian, Beverages"," Aerocity, New Delhi","Elderflower Cocktail, Thai Mojito, Cappuccino Frappe, Turnip Cake, Honey Ice Cream, Peach Mocktail",49
49,Kiyan - The Roseate,"Thai, European, North Indian, Pizza, Salad"," The Roseate, Kapashera, New Delhi",,50
50,Dragonfly Experience,"Modern Indian, North Indian, Beverages, European, Asian, Desserts"," Worldmark 1, Aerocity, New Delhi",,51
51,AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad"," MGF Metropolis Mall, MG Road, Gurgaon","Smoked Cottage Cheese, Chilli Chicken Wing, Chilli Ice Cream, Pineapple Grill, Masala Corn, Rabbit",52
52,Qureshi Kabab Corner,"Mughlai, Kebab"," Jama Masjid, New Delhi","Beef Kabab, Seekh Kebab Roll, Chicken Kabab, Kababs, Chicken Seekh, Rumali Roti",53
53,Clock Tower,"North Indian, Asian, Beverages, Fast Food"," Golf Course Road, Gurgaon",,54
54,Saravana Bhavan,"South Indian, Beverages"," Connaught Place, New Delhi","Kara Dosa, Rava Khichdi, Ghee Idli, Ghee Roast Paper Masala Dosa, Sweet Dahi Vada, Mini Idlies",55
55,C.I.A Call It Asiian,"Thai, Chinese, Sushi, Momos"," Greater Kailash 2 (GK2), New Delhi",,56
56,Open Tap,"Finger Food, North Indian, Continental, Italian"," South Point Mall, Golf Course Road, Gurgaon","Kamikaze, Chicken Bbq Wings, Chicken Slider, Craft Beer, Hummus Pita, Tawa Mutton",57
57,Hamoni: Cafe By The Greens,"Cafe, North Indian, Italian, Desserts, Beverages"," Sector 23, Gurgaon","Sizzler Brownie, Coffee Hazelnut, Cheese Balls, Hot Chocolate, Mezze Platter, Sunday Brunch",58
58,Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab"," Suncity Business Tower, Golf Course Road, Gurgaon","Pineapple Jalebi, Ajwain Paneer Tikka, Gulkand Ki Kheer, Triffle Pudding, Tandoori Ananas, Blue Ocean Mocktail",59
59,Noida Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages"," DLF Mall of India, Sector 18,  Noida, Noida","Cheesecake, Cocktails, Oreo Shake, Drink, Platter, Dessert",60
60,K3 - JW Marriott New Delhi,"North Indian, Chinese, Italian, Momos"," JW Marriott New Delhi, New Delhi","Dinner Buffet, Dessert Counter, Duck, Sunday Brunch, Dim Sums, Tiramisu",61
61,Barbeque Nation,"North Indian, BBQ, Beverages, Desserts"," Unity One Mall, Janakpuri, New Delhi","Grilled Shrimp, Cajun Potatoes, Matka Phirni, Pan Kulfi, Grilled Pineapple, Barbeque",62
62,Di Ghent Cafe,"European, Belgian"," Cross Point Mall, DLF Phase 4, Gurgaon","Yogurt Smoothie, Lamb Lasagna, Egg Benedict, Chicken Panini, Baguette, Smoked Salmon",63
63,Vapour Bar Exchange,"Continental, Italian, American, North Indian"," Sohna Road, Gurgaon",,64
64,Kiara Soul Kitchen,"Asian, North Indian, Oriental, Desserts, Juices, Beverages"," M Block Market, Greater Kailash 2 (GK2), New Delhi",,65
65,The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab"," Sector 110, Noida","Shyam Savera, Lalla Mussa Dal, Kurkuri Bhindi, Paneer Taka Tak, Dahi Kabab, Chilli Garlic Noodles",66
66,Mahabelly,"Kerala, South Indian, Seafood, Biryani"," DLF Avenue, Saket, New Delhi","Chicken Varattiyathu, Sweet Coconut Dosa, Mango Prawn Curry, Kothu Porotta, Pork Roast, Egg Appam",67
67,The Piano Man Jazz Club,"Finger Food, Mexican, American, Italian, Asian, Beverages"," Safdarjung, New Delhi",Balcony seating arrangement with live band perfomances,68
68,You Mee,"Japanese, Sushi, Asian, Chinese, Thai, Beverages"," Greater Kailash 2 (GK2), New Delhi","Matcha Cheesecake, Spider Roll, New Zealand Lamb Chops, Chicken Sushi, Chicken Gyoza, Sushi Platter",69
69,Delhi Club House,"North Indian, Continental, Asian"," Sangam Courtyard, RK Puram, New Delhi","Dak Bunglow Chicken Roast, Trifle Pudding, Amritsari Chhole, Chicken Cutlets, Apple Crumble, Galouti Kebab",70
70,Wenger's Deli,"Fast Food, Desserts, Beverages, North Indian, Pizza"," Connaught Place, New Delhi","Peri Peri Veg Panini, Mocha Smoothie, Veg Bbq Burger, Crunchy Chocolate, Blueberry Blast, Continental Breakfast",71
71,Farmer's Basket At Pluck,"Chinese, European, North Indian"," Pullman New Delhi Aerocity, Aerocity, New Delhi",,72
72,The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta"," Cross Point Mall, DLF Phase 4, Gurgaon","Tortellini Puttanesca, Parma Ham Salad, Chicken Breast Sandwich, Spinach Ravioli, Ravioli Pasta, Orange Mojito",73
73,Chor Bizarre,"North Indian, Mughlai, Beverages"," Pandara Road Market, New Delhi","Khatte Baigan, Kashmiri Phirni, Tabakh Maaz, Dahi Batata Puri, Palak Patta Chat, Kulfi",74
74,Honk - Pullman New Delhi Aerocity,"Japanese, Chinese, Thai, Beverages"," Pullman New Delhi Aerocity, Aerocity, New Delhi",,75
75,Sakley's The Mountain Cafe,"Cafe, Italian, Fast Food"," DLF Galleria, DLF Phase 4, Gurgaon",,76
76,Cafe Diaries,"Cafe, Continental, Italian, Chinese, Mexican, Fast Food, Desserts, Beverages"," Satyaniketan, New Delhi",,77
77,Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad"," Ambience Mall, DLF Phase 3, Gurgaon","Grill Chicken, Peri Peri Chicken, Hummus Pita, Peri Peri Sauce, Cheesecake, Chocolate Cake",78
78,Cafe Parmesan,"Italian, Pizza, Beverages"," Sector 15, Faridabad","Bacon Panini, Chocolate Torte, Belgian Choco Shake, Veg Panini, Ravioli, Chicken Lasagna",79
79,Nona's Kitchen,"North Indian, Mughlai, Rolls, Chinese, Kebab"," Supermart 1, DLF Phase 4, Gurgaon",,80
80,The Great Kabab Factory - Radisson Blu Plaza Delhi Airport,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages"," Radisson Blu Plaza Delhi Airport, Mahipalpur, New Delhi","Set Menu, Dals, Galouti Kebab, Jalebi, Kababs, Kulfi",81
81,Wafflesome,"Desserts, Beverages"," Greater Kailash 1 (GK1), New Delhi","Brownie Nutella Waffles, Choco Waffle, Mango Waffle, Banana Toffee, Ice Cream Strawberry, Strawberry Waffle",82
82,Green House - The Beer Garden,"Continental, Tex-Mex, Mediterranean, North Indian, Asian"," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon","Herbed Potato Wedges, Veg Ceaser Salad, Cheese Corn Nuggets, Spaghetti Bolognese, Wheat Beer, Chocolate Lava Cake",83
83,Big Wong,"Asian, Thai, Sushi, Poké, Chinese"," Sector 110, Noida",Assorted range of authentic Pan Asian food served in a cozy setting,84
84,La Pino'z Pizza,"Italian, Fast Food, Beverages, Desserts"," Raheja Mall, Sohna Road, Gurgaon",,85
85,The Hook,"Seafood, Continental, North Indian"," Sector 29, Gurgaon","Rusty Nail, Liit Cocktail, Soya Masala Chaap, Butter Garlic Prawns, Brewed Beer, Sea Food",86
86,Rahul Eggs,"Fast Food, Healthy Food, Street Food, North Indian"," Lawrence Road, New Delhi","Tandoori Jalandhari, Chicken Jalandhari, Eggs, Omelette",87
87,"Colocal ""The Cacao Artisans""","Cafe, Desserts, Continental, Coffee, Italian, Beverages"," Chhatarpur, New Delhi","Zucchini Fries, Garden Salad, Veg Tacos, Hot Chocolate, Bruschetta, Sangria",88
88,Farzi Cafe,"Mughlai, Finger Food, North Indian, Beverages"," Connaught Place, New Delhi",Modernized presentation of dishes with an elegant decor,89
89,The Drunken Botanist,"Continental, Italian, North Indian, Chinese"," Cyber Hub, DLF Cyber City, Gurgaon",,90
90,Jamun,"North Indian, Mughlai, Fast Food, Beverages"," Lodhi Colony, New Delhi",,91
